"pitcher","game_year","clusters"
112526,2015,3
112526,2016,2
112526,2017,3
112526,2018,3
115629,2015,2
136600,2015,2
150116,2015,3
150274,2015,2
150274,2016,3
150302,2015,2
150359,2015,4
217096,2015,4
218596,2015,3
234194,2015,2
276351,2015,4
276351,2016,4
276351,2017,3
276514,2015,2
276520,2017,4
276542,2015,5
276542,2016,3
276542,2017,2
279571,2015,3
279571,2016,3
279571,2017,3
279571,2018,3
279824,2015,3
282332,2015,6
282332,2016,3
282332,2017,3
282332,2018,3
282332,2019,3
285064,2015,4
285064,2016,4
285079,2015,4
285079,2016,4
285079,2017,4
329092,2015,2
346793,2015,3
346797,2015,2
346798,2015,9
346798,2016,3
346847,2015,5
400085,2015,2
400089,2015,2
407793,2015,8
407793,2016,6
407793,2017,3
407819,2015,2
407819,2016,2
407822,2015,4
407822,2016,4
407822,2017,4
407822,2018,5
407845,2015,4
407845,2016,4
407845,2017,3
407845,2018,5
407845,2019,2
407890,2015,3
407890,2016,3
407908,2015,3
407908,2016,2
408061,2015,3
408061,2016,3
408061,2017,3
408241,2015,3
408241,2016,5
408314,2018,2
421685,2015,4
424144,2015,3
424144,2016,3
424144,2017,2
424144,2018,4
424144,2019,3
424144,2021,2
424325,2015,1
425386,2015,9
425386,2017,3
425426,2016,2
425492,2015,5
425492,2016,5
425492,2017,2
425492,2018,3
425532,2015,4
425532,2016,3
425543,2015,2
425560,2015,2
425626,2015,2
425626,2016,3
425657,2015,3
425657,2016,3
425772,2018,1
425772,2019,2
425786,2015,3
425794,2015,2
425794,2016,5
425794,2017,6
425794,2018,4
425794,2019,4
425794,2021,4
425796,2015,2
425835,2015,3
425835,2016,6
425840,2015,3
425844,2015,3
425844,2016,3
425844,2017,4
425844,2018,4
425844,2019,4
425844,2021,8
425856,2015,2
425856,2016,4
429400,2015,2
429400,2016,2
429717,2015,3
429719,2015,3
429719,2016,3
429719,2017,4
429719,2018,3
429719,2019,3
429722,2015,4
429722,2016,3
429722,2017,2
429722,2018,2
429722,2019,2
429722,2021,2
429780,2015,3
429780,2016,3
429781,2015,3
429783,2015,2
430404,2015,1
430580,2015,3
430580,2016,3
430589,2015,3
430589,2016,4
430589,2017,2
430599,2015,5
430599,2016,7
430599,2017,3
430605,2015,2
430613,2015,2
430630,2015,4
430634,2016,2
430641,2015,4
430641,2016,3
430641,2017,3
430641,2018,3
430661,2015,2
430661,2016,2
430661,2017,2
430911,2015,2
430912,2015,3
430912,2016,3
430912,2017,3
430935,2015,4
430935,2016,9
430935,2017,5
430935,2018,3
430935,2019,4
430947,2017,1
431145,2019,2
431148,2015,5
431148,2016,3
431148,2021,3
431162,2015,4
432934,2015,4
432934,2016,3
432934,2017,2
433217,2017,1
433579,2015,4
433579,2016,4
433584,2015,4
433584,2016,2
433585,2015,3
433586,2015,4
433586,2016,5
433586,2017,3
433586,2018,3
433587,2015,4
433587,2016,3
433587,2017,3
433587,2018,3
433587,2019,3
433589,2015,3
433589,2016,4
433589,2017,5
433589,2018,5
433589,2019,5
433589,2021,4
434137,2015,2
434137,2016,2
434378,2015,4
434378,2016,3
434378,2017,4
434378,2018,4
434378,2019,3
434442,2015,3
434442,2016,2
434442,2017,2
434538,2015,4
434538,2016,3
434538,2017,3
434538,2018,3
434538,2019,2
434540,2015,2
434563,2017,2
434622,2015,4
434622,2016,3
434622,2017,3
434628,2015,3
434628,2016,3
434628,2017,3
434628,2018,6
434643,2015,4
434665,2015,6
434671,2015,3
434671,2016,4
434671,2017,3
434671,2018,4
434671,2019,4
434672,2016,2
434672,2017,2
434678,2015,2
434718,2015,3
434718,2016,3
434718,2017,2
434778,2018,2
434778,2019,2
435043,2015,3
435043,2016,4
435043,2017,3
435043,2018,5
435043,2019,3
435044,2015,2
435045,2015,2
435079,2019,2
435221,2015,3
435221,2016,4
435221,2017,3
435221,2018,3
435400,2015,3
435400,2016,2
435400,2017,2
435622,2019,3
444436,2015,2
444436,2016,2
444446,2015,3
444468,2015,3
444468,2016,3
444468,2017,2
444468,2018,3
444468,2019,4
444482,2021,1
444520,2015,4
444520,2016,3
444520,2017,2
444836,2015,2
444857,2015,3
444857,2016,6
444857,2017,5
444935,2015,3
445055,2017,1
445060,2015,4
445060,2016,3
445060,2017,3
445163,2015,5
445170,2015,2
445197,2015,4
445197,2016,4
445197,2017,3
445197,2018,3
445197,2019,3
445213,2015,2
445213,2016,2
445213,2017,2
445213,2018,2
445213,2019,2
445213,2021,2
445276,2015,2
445276,2016,2
445276,2017,2
445276,2018,2
445276,2019,2
445276,2021,2
445590,2015,4
445612,2015,5
445926,2015,6
445926,2016,5
445926,2017,4
445926,2018,3
445926,2019,2
445926,2021,3
445968,2015,3
445968,2016,3
446099,2015,3
446099,2016,3
446099,2017,3
446099,2018,3
446099,2021,2
446185,2016,2
446321,2015,5
446321,2016,3
446321,2018,3
446321,2019,4
446321,2021,3
446372,2015,4
446372,2016,4
446372,2017,3
446372,2018,3
446372,2019,3
446372,2021,4
446381,2016,2
446386,2018,3
446399,2015,3
446399,2016,3
446399,2017,4
446399,2018,4
446481,2019,2
446899,2015,5
446899,2016,4
446899,2017,2
446899,2018,2
447714,2015,5
447714,2016,5
447714,2017,2
447755,2015,2
447755,2016,2
448159,2015,3
448167,2018,2
448178,2015,4
448178,2016,4
448178,2018,2
448179,2015,3
448179,2016,3
448179,2017,4
448179,2018,4
448179,2019,3
448179,2021,3
448281,2015,2
448281,2016,2
448281,2017,2
448281,2018,2
448281,2019,2
448281,2021,2
448306,2015,5
448306,2016,6
448306,2017,5
448306,2018,5
448602,2018,2
448602,2019,1
448609,2015,3
448609,2016,3
448609,2017,3
448609,2018,4
448609,2019,3
448614,2015,6
448614,2016,2
448614,2017,2
448614,2018,2
448614,2019,2
448801,2019,2
448802,2015,3
448802,2016,4
448802,2017,4
448802,2018,4
448855,2015,3
448855,2016,2
448855,2017,3
448855,2018,2
448855,2019,4
448855,2021,4
449079,2015,3
449097,2015,3
449097,2016,6
449104,2016,3
449170,2015,3
449173,2016,3
449173,2017,3
450172,2015,6
450172,2016,5
450172,2017,2
450172,2019,4
450203,2015,5
450203,2016,3
450203,2017,3
450203,2018,3
450203,2019,3
450203,2021,5
450212,2015,3
450212,2016,3
450212,2017,3
450212,2018,3
450212,2019,3
450275,2015,3
450275,2016,3
450282,2015,5
450282,2016,2
450282,2017,2
450306,2015,3
450306,2016,3
450306,2017,3
450306,2018,3
450306,2019,3
450308,2015,4
450308,2016,3
450308,2017,3
450314,2019,1
450351,2015,3
450665,2015,4
450665,2016,3
450665,2018,4
450729,2015,3
450729,2016,4
450729,2017,3
450729,2018,4
451085,2015,3
451085,2016,2
451532,2015,3
451584,2015,3
451584,2016,3
451584,2017,3
451584,2018,3
451584,2019,3
451584,2021,3
451596,2015,3
451596,2016,3
451596,2017,5
451596,2018,4
451661,2015,5
451661,2016,4
451661,2017,3
451661,2018,2
451775,2015,3
451775,2016,4
451783,2016,2
451788,2015,3
452027,2015,4
452027,2016,4
452027,2017,3
452027,2021,3
452061,2016,3
452657,2015,3
452657,2016,5
452657,2017,3
452657,2018,3
452657,2019,4
452657,2021,3
452666,2015,3
452666,2016,3
452666,2017,3
452678,2021,1
452718,2015,5
452718,2017,3
452733,2015,5
452733,2016,4
453156,2015,2
453172,2015,3
453172,2016,3
453172,2017,2
453172,2018,2
453172,2019,2
453178,2015,5
453178,2016,4
453178,2017,4
453178,2018,4
453178,2019,3
453178,2021,2
453192,2015,2
453192,2016,2
453192,2017,2
453192,2018,2
453192,2019,2
453192,2021,2
453203,2015,2
453214,2015,3
453214,2016,3
453214,2017,3
453214,2018,3
453214,2019,3
453222,2015,3
453222,2016,2
453249,2015,2
453249,2016,2
453264,2015,2
453265,2015,6
453265,2016,4
453265,2017,3
453265,2018,2
453265,2019,4
453265,2021,3
453268,2021,2
453281,2016,5
453281,2017,5
453281,2018,4
453281,2019,4
453281,2021,4
453284,2016,3
453284,2017,2
453284,2018,5
453284,2019,4
453284,2021,4
453286,2015,4
453286,2016,3
453286,2017,3
453286,2018,5
453286,2019,4
453286,2021,4
453307,2015,2
453307,2016,2
453311,2015,4
453311,2016,3
453329,2015,3
453329,2016,3
453329,2017,2
453329,2018,3
453329,2019,3
453343,2015,5
453343,2016,6
453343,2017,2
453343,2018,2
453343,2019,2
453343,2021,2
453344,2015,3
453344,2016,3
453344,2017,2
453344,2018,2
453385,2015,2
453385,2016,2
453385,2017,2
453385,2018,4
453385,2019,3
453562,2015,3
453562,2016,3
453562,2017,3
453562,2018,3
453562,2019,4
453562,2021,3
453646,2015,3
453646,2016,3
453895,2015,1
455009,2015,3
455009,2016,4
455009,2017,2
455119,2015,3
455119,2018,3
455119,2019,2
455119,2021,4
455374,2015,6
455374,2016,4
455374,2017,2
455376,2017,2
456027,2015,4
456027,2016,4
456034,2015,4
456034,2016,5
456034,2017,3
456034,2018,5
456034,2019,3
456034,2021,3
456051,2015,3
456051,2019,3
456068,2015,3
456068,2016,3
456068,2017,3
456068,2018,3
456071,2015,3
456071,2016,3
456121,2015,1
456124,2016,2
456124,2018,2
456167,2016,7
456167,2017,3
456379,2015,3
456379,2016,2
456379,2017,2
456387,2019,2
456488,2019,2
456496,2015,3
456501,2015,5
456501,2016,3
456501,2017,3
456501,2018,2
456501,2019,2
456501,2021,3
456696,2015,3
456696,2016,4
456696,2017,3
456696,2018,3
456696,2019,3
456701,2015,4
456701,2016,3
456701,2017,3
456701,2018,3
456701,2019,5
456713,2016,7
456713,2017,4
456713,2018,3
456713,2021,3
456776,2015,3
457117,2015,2
457117,2017,2
457429,2015,2
457429,2016,3
457429,2017,4
457429,2018,2
457435,2015,2
457435,2016,3
457448,2015,2
457456,2015,0
457456,2016,5
457711,2015,3
457711,2016,4
457732,2015,3
457732,2016,4
457732,2017,2
457744,2015,3
457754,2015,3
457754,2018,3
457754,2019,3
457759,2021,5
457768,2015,3
457768,2016,4
457768,2017,3
457779,2016,2
457915,2015,2
457915,2016,3
457915,2017,3
457915,2018,3
457915,2019,4
457915,2021,2
457918,2015,8
457918,2016,3
457918,2017,4
457918,2018,5
457918,2019,3
457918,2021,6
458006,2015,2
458006,2016,2
458006,2017,2
458006,2018,2
458006,2019,2
458537,2016,2
458584,2015,3
458584,2016,2
458584,2017,2
458584,2018,2
458584,2019,2
458676,2017,4
458676,2021,3
458677,2015,3
458677,2016,3
458677,2017,4
458677,2018,3
458677,2019,3
458677,2021,3
458678,2015,2
458678,2016,2
458681,2015,4
458681,2017,3
458681,2018,4
458681,2019,3
458681,2021,4
458690,2015,3
458690,2017,2
458690,2018,2
458708,2015,3
458708,2016,3
458708,2017,4
458708,2018,3
458708,2019,4
458708,2021,3
458730,2015,2
458730,2016,3
458919,2015,2
458924,2018,3
458924,2019,3
459429,2015,2
459429,2016,2
459429,2017,2
459429,2018,2
459429,2019,2
459429,2021,2
459967,2015,3
459987,2015,3
459987,2016,3
460008,2015,3
460024,2015,3
460024,2016,3
460059,2015,8
460059,2016,5
460059,2017,3
460060,2015,2
460060,2018,2
460077,2016,2
460077,2018,1
460086,2019,2
460156,2015,4
460269,2016,3
460269,2017,2
460269,2018,2
460283,2015,3
460283,2016,3
460283,2017,3
460283,2018,3
460283,2019,3
460576,2018,2
460701,2015,3
460701,2016,3
461325,2015,5
461325,2016,4
461325,2017,4
461325,2018,5
461325,2019,4
461325,2021,3
461815,2015,2
461829,2015,4
461829,2016,4
461829,2017,6
461829,2018,4
461829,2019,4
461833,2015,3
461833,2016,3
461833,2017,3
461833,2018,4
461865,2016,2
461865,2017,1
461865,2018,1
461865,2021,2
461872,2015,3
461872,2016,2
461872,2017,2
461872,2018,2
461872,2019,3
461872,2021,2
462089,2015,2
462136,2015,4
462136,2016,4
462136,2017,3
462136,2018,3
462136,2019,3
462382,2015,4
462382,2016,4
462382,2017,3
462382,2018,3
462480,2018,3
462515,2015,4
462515,2016,2
462515,2017,2
462515,2018,3
462945,2015,2
462985,2015,3
462985,2016,4
464416,2015,3
465629,2015,3
465629,2017,3
465657,2015,4
465657,2016,7
465657,2017,4
465657,2018,4
465657,2019,4
465657,2021,3
465679,2015,2
465753,2018,1
466948,2015,3
466948,2017,3
467008,2015,3
467008,2016,3
467008,2017,3
467008,2018,3
467008,2019,4
467008,2021,3
467055,2018,4
467055,2019,6
467094,2015,3
467100,2015,4
467100,2016,4
467100,2017,4
467100,2018,4
467100,2019,3
467785,2015,2
467827,2019,3
468396,2015,4
468396,2016,4
468396,2018,2
468504,2015,2
468504,2016,4
468504,2017,3
468504,2018,3
468504,2019,3
468504,2021,3
469134,2015,4
471083,2016,2
471083,2017,2
471822,2015,5
471822,2016,5
471822,2017,2
471911,2015,6
471911,2016,7
471911,2017,3
471911,2018,3
471911,2019,2
471911,2021,3
472551,2015,6
472551,2016,3
472551,2017,3
472551,2019,2
472551,2021,3
472610,2015,2
472610,2016,2
472610,2017,3
472610,2018,2
472610,2019,2
472610,2021,2
473879,2015,3
473879,2016,5
473879,2017,4
473879,2018,2
473879,2019,4
474029,2015,3
474029,2016,3
474029,2017,2
474039,2017,2
474284,2015,3
474284,2016,3
474463,2015,3
474463,2016,4
474463,2017,3
474463,2018,3
474463,2019,4
474463,2021,3
474521,2015,4
474521,2016,5
474668,2015,2
474668,2016,2
474699,2015,4
474699,2016,3
474699,2017,3
475054,2015,4
475054,2016,4
475054,2017,2
475054,2018,2
475054,2019,6
475054,2021,2
475115,2015,4
475115,2016,2
475115,2017,2
475115,2018,2
475115,2019,3
475138,2015,3
475138,2016,2
475243,2015,4
475243,2016,7
475243,2017,6
475247,2016,2
475416,2015,2
475479,2015,3
475479,2016,4
475479,2017,3
475479,2019,3
475479,2021,4
475857,2015,2
475857,2018,4
476123,2016,2
476123,2017,3
476451,2015,4
476451,2016,4
476451,2017,4
476451,2018,4
476451,2019,4
476454,2015,4
476454,2016,3
476454,2017,3
476454,2018,3
476454,2019,2
476454,2021,2
476570,2015,3
476570,2016,2
476589,2015,3
476589,2016,3
476589,2017,4
476589,2018,4
476589,2019,3
476594,2018,3
476594,2019,2
476594,2021,2
476595,2015,3
476595,2016,2
476595,2021,4
477003,2015,3
477003,2016,3
477132,2015,7
477132,2016,8
477132,2017,3
477132,2018,4
477132,2019,5
477132,2021,3
477195,2015,2
477229,2015,3
477569,2015,4
477569,2016,4
477569,2017,2
477569,2018,3
477569,2019,2
487675,2017,3
487675,2018,3
488671,2018,1
488671,2019,2
488674,2015,2
488748,2016,2
488748,2017,5
488748,2018,3
488748,2019,3
488748,2021,3
488768,2015,8
488768,2016,4
488768,2017,3
488768,2018,5
488768,2019,3
488786,2015,2
488786,2016,3
488786,2018,4
488818,2018,1
488846,2015,4
488846,2016,3
488846,2017,5
488846,2018,3
488984,2015,4
488984,2016,3
488984,2017,3
488984,2018,3
488984,2019,3
488984,2021,2
489002,2015,3
489002,2016,3
489039,2015,2
489119,2015,4
489119,2016,3
489119,2017,4
489119,2018,4
489119,2019,4
489119,2021,4
489138,2015,3
489197,2016,2
489265,2015,3
489265,2016,3
489265,2017,3
489265,2018,6
489265,2019,3
489265,2021,3
489267,2015,2
489294,2015,7
489294,2016,2
489294,2017,2
489295,2015,2
489295,2019,2
489334,2015,3
489334,2017,4
489334,2018,4
489334,2019,3
489334,2021,3
489446,2015,3
489446,2016,4
489446,2017,2
489446,2018,2
489446,2019,3
489448,2018,2
490063,2015,4
490063,2016,5
490063,2017,4
491159,2015,2
491624,2017,3
491624,2021,2
491646,2015,4
491646,2016,2
491646,2017,2
491646,2018,3
491646,2019,3
491696,2015,2
491696,2017,2
491696,2018,2
491696,2019,3
491703,2015,4
491703,2016,5
491703,2017,2
491703,2021,2
491708,2015,5
491708,2016,4
492841,2017,1
493114,2017,5
493117,2015,3
493157,2015,3
493157,2016,4
493157,2017,3
493159,2015,4
493200,2016,4
493200,2017,4
493200,2018,3
493200,2019,3
493247,2015,2
493247,2016,3
493247,2017,3
493247,2018,3
493351,2015,2
493603,2015,2
493603,2016,3
493603,2017,3
493603,2018,3
493603,2019,3
493603,2021,3
497807,2016,2
500610,2015,3
500610,2016,4
500610,2017,3
500610,2019,3
500610,2021,5
500721,2015,4
500724,2015,2
500724,2016,5
500724,2017,3
500724,2018,3
500724,2019,3
500765,2016,2
500765,2017,2
500779,2015,6
500779,2016,7
500779,2017,3
500779,2018,3
500779,2019,3
500779,2021,3
500871,2016,2
500872,2017,4
500872,2018,2
500891,2015,2
501303,2019,2
501381,2015,2
501381,2016,3
501381,2017,3
501381,2019,3
501381,2021,4
501563,2015,2
501563,2017,2
501593,2015,4
501593,2016,3
501593,2017,3
501593,2018,3
501593,2019,3
501593,2021,1
501625,2015,3
501625,2016,5
501625,2017,2
501625,2018,3
501625,2019,3
501625,2021,3
501627,2015,2
501697,2016,3
501697,2017,3
501697,2018,3
501789,2015,7
501789,2016,4
501789,2017,2
501789,2018,2
501789,2019,2
501789,2021,2
501817,2016,4
501817,2017,3
501817,2018,3
501817,2019,2
501822,2015,4
501822,2016,5
501822,2017,3
501822,2018,3
501870,2015,2
501925,2015,2
501925,2016,2
501925,2017,2
501925,2018,2
501925,2019,2
501925,2021,2
501936,2016,3
501955,2015,3
501955,2016,5
501957,2015,4
501957,2016,3
501957,2017,3
501957,2018,3
501985,2017,4
501985,2018,3
501985,2019,3
501985,2021,3
501992,2015,2
501992,2016,4
501992,2017,2
501992,2019,2
502004,2015,5
502004,2016,4
502004,2017,5
502004,2018,3
502009,2015,2
502009,2016,2
502009,2017,3
502010,2015,4
502011,2017,2
502026,2015,5
502026,2016,3
502026,2017,3
502026,2018,3
502026,2019,3
502028,2016,3
502028,2017,3
502028,2018,3
502032,2015,3
502032,2016,4
502032,2017,3
502032,2018,3
502042,2015,2
502042,2016,2
502042,2017,4
502042,2018,3
502042,2019,3
502042,2021,2
502043,2015,4
502043,2016,4
502043,2017,5
502043,2018,4
502043,2019,4
502043,2021,4
502046,2015,4
502046,2016,4
502046,2017,2
502051,2015,3
502051,2016,2
502051,2017,3
502051,2018,2
502083,2015,4
502083,2016,2
502083,2017,2
502083,2018,3
502085,2015,5
502085,2016,5
502085,2017,3
502085,2018,2
502085,2019,2
502085,2021,2
502087,2015,3
502087,2016,5
502130,2017,2
502143,2018,6
502154,2015,2
502154,2016,2
502154,2017,2
502154,2018,2
502154,2019,2
502154,2021,2
502162,2015,4
502166,2015,4
502171,2016,3
502171,2017,3
502171,2018,3
502171,2019,3
502171,2021,3
502179,2017,3
502179,2021,4
502188,2015,3
502188,2016,4
502188,2017,3
502188,2018,3
502188,2019,4
502190,2015,6
502190,2016,9
502190,2017,3
502190,2018,3
502190,2019,3
502202,2015,4
502202,2016,4
502202,2017,3
502202,2018,3
502202,2019,3
502202,2021,3
502210,2021,1
502211,2015,3
502211,2016,3
502211,2017,2
502212,2017,3
502212,2018,3
502239,2015,3
502239,2016,4
502239,2017,4
502239,2018,3
502239,2019,3
502239,2021,2
502260,2015,2
502264,2015,2
502272,2015,3
502272,2016,3
502272,2017,3
502273,2017,1
502273,2019,2
502273,2021,3
502281,2015,2
502285,2016,3
502304,2015,3
502304,2019,3
502327,2015,4
502327,2016,4
502327,2017,4
502327,2018,5
502327,2019,4
502327,2021,3
502381,2015,3
502381,2016,3
502381,2017,3
502381,2018,2
502381,2019,3
502457,2016,3
502462,2015,3
502522,2015,2
502522,2016,2
502522,2018,2
502522,2019,2
502522,2021,2
502578,2015,2
502578,2019,2
502593,2015,3
502593,2016,2
502593,2017,2
502593,2018,3
502593,2019,2
502593,2021,2
502624,2015,4
502624,2016,4
502624,2017,4
502624,2018,4
502624,2019,5
502624,2021,4
502706,2015,4
502706,2016,4
502706,2017,3
502706,2018,2
502706,2019,4
502706,2021,3
502748,2015,2
502748,2016,3
502748,2017,3
502748,2018,3
502748,2019,2
502748,2021,3
503285,2015,3
503285,2016,3
503285,2017,2
503285,2018,2
503285,2019,2
503285,2021,2
503444,2016,3
503449,2015,5
503449,2016,4
503449,2017,4
503449,2018,2
503449,2019,2
503449,2021,3
503556,2021,2
503566,2017,2
503569,2021,2
504083,2015,2
504083,2016,2
504186,2015,4
504186,2016,3
504379,2015,5
504379,2016,4
504379,2017,2
504379,2018,2
504379,2019,2
505447,2021,2
506433,2016,4
506433,2017,4
506433,2018,4
506433,2019,3
506433,2021,4
506560,2015,1
506560,2016,0
506693,2015,3
506693,2017,3
506702,2021,2
514669,2015,2
514669,2016,3
514913,2016,2
514981,2015,4
514981,2017,3
515052,2015,2
515052,2016,2
516414,2015,4
516414,2016,2
516472,2018,1
516589,2015,3
516714,2015,2
516714,2016,3
516714,2017,2
516769,2015,2
516910,2015,3
516910,2016,2
516935,2015,2
516969,2015,3
516969,2016,4
516969,2017,2
516969,2018,4
516969,2019,3
516970,2015,3
517008,2015,4
517008,2016,3
517008,2017,2
517008,2018,2
517008,2019,2
517008,2021,2
517059,2015,3
517414,2015,4
517414,2016,4
517414,2017,4
517414,2018,3
517448,2016,4
517593,2015,5
517593,2016,5
517593,2017,3
517593,2019,3
517629,2016,2
518397,2015,2
518397,2016,2
518397,2017,2
518397,2018,3
518397,2019,2
518397,2021,2
518418,2015,2
518420,2015,3
518435,2021,3
518445,2017,4
518445,2018,3
518452,2015,3
518452,2016,3
518452,2017,3
518452,2018,3
518452,2019,3
518468,2015,3
518468,2016,3
518468,2017,4
518468,2019,2
518489,2018,2
518489,2019,2
518489,2021,5
518516,2015,3
518516,2016,5
518516,2017,5
518516,2018,6
518516,2019,7
518516,2021,3
518526,2015,2
518553,2015,3
518553,2016,3
518553,2017,3
518553,2018,3
518553,2019,3
518553,2021,2
518560,2016,3
518566,2017,2
518566,2018,3
518566,2019,3
518567,2015,4
518567,2016,3
518567,2017,4
518586,2018,9
518586,2019,2
518586,2021,1
518603,2015,6
518614,2017,1
518614,2018,1
518614,2019,2
518617,2015,2
518617,2016,5
518617,2017,3
518617,2018,2
518617,2019,2
518617,2021,3
518633,2015,7
518633,2016,2
518633,2017,5
518633,2018,4
518633,2019,3
518633,2021,3
518653,2015,2
518693,2015,3
518693,2016,3
518693,2017,4
518693,2018,3
518693,2019,3
518703,2015,2
518715,2015,2
518715,2016,3
518715,2017,2
518715,2018,2
518715,2019,2
518716,2015,4
518716,2016,3
518716,2017,3
518748,2015,3
518748,2016,3
518748,2017,3
518748,2018,3
518764,2015,3
518771,2015,3
518774,2015,4
518774,2016,4
518774,2017,3
518774,2018,4
518774,2019,3
518774,2021,3
518790,2015,3
518790,2016,2
518790,2017,2
518813,2015,3
518813,2017,3
518813,2018,3
518813,2019,3
518813,2021,3
518833,2015,3
518858,2015,2
518858,2016,4
518858,2017,2
518858,2018,4
518858,2019,3
518858,2021,2
518863,2015,2
518875,2015,5
518875,2016,2
518875,2017,2
518875,2018,2
518875,2019,2
518876,2019,3
518876,2021,3
518883,2016,3
518883,2018,2
518886,2015,3
518886,2016,2
518886,2017,2
518886,2018,2
518886,2019,2
518886,2021,2
518927,2015,4
518927,2016,6
518927,2017,5
519008,2015,5
519008,2016,2
519008,2017,4
519008,2018,4
519008,2019,2
519008,2021,2
519043,2015,4
519043,2016,3
519043,2017,4
519043,2018,3
519043,2019,3
519043,2021,3
519048,2017,3
519048,2021,2
519076,2015,4
519076,2016,7
519076,2017,4
519076,2019,2
519076,2021,2
519085,2015,2
519085,2016,3
519096,2015,2
519096,2016,3
519096,2017,2
519096,2018,2
519096,2019,2
519141,2015,5
519141,2016,4
519141,2017,3
519141,2018,3
519141,2019,4
519141,2021,2
519144,2015,5
519144,2016,4
519144,2017,6
519144,2018,5
519144,2019,3
519151,2015,3
519151,2016,4
519151,2017,3
519151,2018,3
519151,2019,3
519151,2021,3
519166,2015,5
519166,2016,3
519166,2017,3
519166,2018,2
519166,2019,4
519168,2015,2
519168,2016,3
519169,2015,3
519186,2015,3
519186,2016,3
519203,2018,1
519203,2021,3
519208,2015,8
519222,2018,1
519222,2019,3
519229,2015,2
519240,2015,2
519240,2016,2
519240,2017,2
519240,2018,2
519242,2015,7
519242,2016,4
519242,2017,4
519242,2018,5
519242,2019,3
519242,2021,4
519263,2015,3
519263,2016,3
519263,2017,3
519267,2015,3
519267,2016,4
519267,2017,3
519293,2015,5
519293,2016,3
519293,2018,4
519293,2019,3
519293,2021,3
519294,2016,4
519294,2017,4
519294,2018,2
519295,2018,2
519299,2021,1
519301,2015,2
519301,2016,2
519301,2017,4
519301,2018,4
519322,2015,3
519322,2016,3
519322,2017,4
519326,2015,5
519326,2016,5
519326,2017,2
519326,2018,4
519326,2019,4
519326,2021,3
519344,2016,3
519344,2017,3
519381,2015,2
519381,2016,4
519381,2018,4
519381,2019,4
519393,2018,3
519393,2019,3
519411,2015,3
519437,2016,4
519443,2017,3
519443,2018,3
519443,2019,3
519443,2021,3
519455,2015,4
519455,2016,3
519455,2017,3
519455,2018,3
519455,2019,3
519455,2021,3
520980,2015,6
520980,2016,2
520980,2017,3
520980,2018,2
520980,2019,2
520980,2021,2
521230,2015,4
521230,2016,5
521230,2017,5
521230,2018,3
521230,2019,4
521230,2021,5
521655,2017,2
521655,2018,4
521655,2019,4
523260,2015,4
523260,2016,2
523260,2017,2
523260,2018,4
523260,2019,2
523260,2021,2
523848,2015,2
523848,2016,4
523989,2015,2
523989,2016,2
