"pitcher","game_year"
115629,2015
150274,2016
234194,2015
276351,2015
276351,2017
276514,2015
276542,2016
276542,2017
279571,2015
279571,2016
279571,2017
279571,2018
329092,2015
346793,2015
346797,2015
346847,2015
400089,2015
407819,2015
407819,2016
407822,2017
407822,2018
407845,2019
407908,2015
407908,2016
408061,2015
408061,2016
408061,2017
425426,2016
425492,2017
425492,2018
425532,2016
425626,2015
425626,2016
425657,2015
425657,2016
425786,2015
425835,2015
425856,2015
425856,2016
429400,2015
429400,2016
429719,2015
429780,2015
429780,2016
429783,2015
430589,2015
430589,2016
430589,2017
430599,2017
430613,2015
430630,2015
430634,2016
430641,2015
430641,2017
430641,2018
430661,2015
430911,2015
431145,2019
431148,2021
431162,2015
432934,2017
433585,2015
433586,2015
433586,2016
433586,2018
433589,2016
434137,2015
434442,2015
434442,2016
434442,2017
434665,2015
434672,2016
434718,2016
434718,2017
435043,2017
435043,2018
435043,2019
435045,2015
435400,2015
435400,2016
435400,2017
444436,2015
444436,2016
444446,2015
444468,2016
444520,2016
444520,2017
444935,2015
445163,2015
445170,2015
445197,2015
445197,2016
445197,2017
445197,2018
445197,2019
445213,2015
445213,2016
445213,2018
445213,2019
445213,2021
445612,2015
445968,2015
445968,2016
446099,2017
446099,2018
446185,2016
446399,2015
446399,2016
446399,2017
446399,2018
446899,2015
446899,2017
447714,2015
447714,2016
447714,2017
447755,2015
447755,2016
448159,2015
448167,2018
448178,2016
448178,2018
448609,2015
448609,2016
448609,2017
448609,2018
448609,2019
448614,2015
448614,2018
448614,2019
449079,2015
449097,2015
449097,2016
449104,2016
449170,2015
449173,2017
450172,2019
450212,2015
450212,2016
450212,2017
450212,2018
450212,2019
450275,2015
450275,2016
450282,2015
450282,2017
451085,2015
451085,2016
451584,2016
451584,2019
451584,2021
451661,2015
451661,2016
451661,2017
451661,2018
451775,2015
451775,2016
451783,2016
452061,2016
452666,2016
452666,2017
452733,2015
452733,2016
453156,2015
453172,2015
453172,2016
453172,2017
453192,2015
453192,2018
453192,2021
453214,2018
453214,2019
453222,2015
453249,2015
453249,2016
453264,2015
453265,2018
453265,2019
453265,2021
453281,2021
453284,2016
453284,2021
453344,2016
453344,2017
453344,2018
453385,2015
453646,2015
455009,2017
455374,2017
455376,2017
456027,2015
456051,2019
456379,2017
456496,2015
456696,2015
456696,2017
456696,2018
456696,2019
456776,2015
457117,2015
457117,2017
457429,2015
457429,2016
457429,2017
457429,2018
457435,2015
457435,2016
457732,2015
457732,2016
457732,2017
457744,2015
457754,2015
457754,2018
457754,2019
457768,2016
457768,2017
457915,2016
457915,2017
457915,2018
457915,2021
458006,2015
458006,2016
458006,2018
458537,2016
458584,2015
458584,2016
458584,2017
458584,2018
458584,2019
458676,2021
458678,2015
458678,2016
458690,2017
458690,2018
458708,2021
458730,2015
458730,2016
458919,2015
458924,2018
458924,2019
459967,2015
459987,2015
460008,2015
460024,2015
460024,2016
460156,2015
460269,2017
460283,2015
460283,2016
460283,2017
460283,2018
460283,2019
460701,2015
460701,2016
461833,2018
461872,2015
461872,2016
461872,2018
461872,2019
461872,2021
462382,2017
462382,2018
462515,2015
462515,2016
462515,2017
462945,2015
462985,2016
464416,2015
465629,2015
465629,2017
465657,2017
465657,2021
465679,2015
466948,2015
466948,2017
467008,2016
467008,2018
467008,2019
467785,2015
468396,2016
469134,2015
471822,2016
471822,2017
472551,2015
472551,2016
472551,2017
472551,2019
472551,2021
473879,2017
473879,2018
473879,2019
474029,2015
474029,2016
474029,2017
474284,2015
474284,2016
474521,2016
475054,2015
475054,2016
475054,2017
475054,2018
475054,2019
475857,2015
475857,2018
476123,2016
476570,2015
476589,2018
476589,2019
476594,2018
476594,2019
477229,2015
477569,2018
487675,2017
487675,2018
488748,2018
488748,2019
488748,2021
488786,2015
488786,2016
488786,2018
488846,2015
488846,2016
488846,2018
489002,2015
489002,2016
489039,2015
489294,2015
489294,2016
489294,2017
489295,2015
489295,2019
491159,2015
491646,2017
491646,2018
491646,2019
491703,2015
491703,2016
491703,2017
491703,2021
493157,2015
493157,2016
493157,2017
493200,2019
493247,2015
493247,2016
493247,2017
493247,2018
497807,2016
500610,2015
500610,2016
500610,2017
500721,2015
500724,2015
500724,2019
500765,2016
500765,2017
500872,2017
500872,2018
501563,2015
501563,2017
501593,2015
501593,2016
501593,2017
501593,2018
501593,2019
501593,2021
501697,2016
501697,2017
501697,2018
501789,2017
501789,2018
501789,2021
501817,2016
501817,2018
501822,2015
501822,2016
501822,2018
501955,2015
501955,2016
501992,2019
502004,2016
502004,2018
502010,2015
502026,2016
502026,2019
502028,2018
502032,2018
502051,2015
502051,2016
502051,2017
502083,2016
502083,2017
502083,2018
502087,2016
502130,2017
502162,2015
502239,2015
502260,2015
502264,2015
502272,2015
502272,2016
502272,2017
502304,2015
502304,2019
502327,2019
502327,2021
502381,2015
502381,2016
502381,2018
502381,2019
502457,2016
502462,2015
502522,2015
502522,2016
502522,2018
502522,2019
502522,2021
502578,2015
502593,2015
502593,2016
502593,2017
502593,2018
502593,2019
502593,2021
502706,2021
503569,2021
504083,2015
504186,2015
504379,2018
504379,2019
514669,2015
514669,2016
514981,2015
514981,2017
515052,2015
515052,2016
516589,2015
516714,2015
516714,2016
516714,2017
516769,2015
516935,2015
516969,2017
516969,2018
516969,2019
516970,2015
517414,2018
517448,2016
518420,2015
518468,2015
518468,2016
518468,2017
518468,2019
518526,2015
518566,2018
518566,2019
518567,2016
518567,2017
518693,2015
518693,2016
518693,2017
518693,2018
518703,2015
518715,2015
518715,2016
518715,2018
518715,2019
518716,2017
518771,2015
518790,2016
518833,2015
518858,2015
518858,2017
518858,2018
518858,2019
518858,2021
518875,2015
518875,2016
518875,2017
518875,2018
518875,2019
518883,2016
518883,2018
518927,2015
518927,2016
518927,2017
519076,2019
519076,2021
519096,2015
519096,2017
519096,2018
519096,2019
519141,2021
519166,2015
519166,2016
519166,2017
519166,2018
519166,2019
519169,2015
519186,2015
519186,2016
519240,2015
519240,2016
519240,2017
519240,2018
519263,2015
519263,2016
519263,2017
519267,2015
519267,2016
519267,2017
519294,2016
519294,2018
519299,2021
519301,2015
519301,2016
519301,2017
519301,2018
519322,2015
519322,2016
519322,2017
519381,2015
519381,2015
519381,2016
519381,2016
519381,2018
519381,2018
519393,2018
519437,2016
519443,2017
519443,2018
519443,2021
521655,2018
523848,2015
523848,2016
523989,2017
525768,2018
525768,2019
532077,2017
532077,2018
534812,2017
534812,2018
534910,2019
534910,2021
541652,2015
541652,2016
541652,2017
541652,2018
542266,2015
542432,2015
542432,2016
542432,2018
542587,2015
542587,2016
542609,2015
542609,2016
542669,2015
542674,2015
542674,2016
542866,2015
542866,2016
542866,2019
542882,2021
542924,2015
542924,2017
542924,2018
542953,2016
542953,2017
542953,2019
542960,2019
542960,2021
543017,2016
543017,2017
543022,2021
543045,2018
543045,2021
543118,2015
543118,2016
543118,2018
543118,2019
543144,2015
543144,2016
543144,2017
543144,2018
543169,2016
543184,2015
543193,2018
543193,2019
543195,2016
543219,2015
543219,2016
543219,2018
543258,2015
543258,2018
543261,2015
543261,2016
543278,2015
543278,2016
543278,2017
543278,2019
543331,2016
543331,2017
543334,2016
543343,2019
543359,2015
543359,2019
543391,2016
543409,2015
543456,2016
543483,2016
543483,2019
543506,2015
543506,2018
543508,2015
543508,2017
543508,2018
543518,2015
543607,2015
543698,2016
543716,2015
543716,2016
543726,2016
543726,2017
543734,2018
543746,2015
543746,2016
543746,2017
543746,2018
543779,2017
543803,2015
543859,2015
543859,2017
543867,2017
543881,2015
543883,2015
543883,2016
543883,2017
543883,2018
543883,2019
543883,2021
543900,2015
543903,2019
543935,2017
543935,2018
543935,2019
543942,2015
543964,2015
543964,2016
543964,2017
544150,2017
544759,2015
544759,2016
544836,2015
544836,2016
544836,2018
544928,2016
544928,2017
544928,2018
544928,2019
544930,2016
544993,2016
545064,2015
545064,2017
545064,2019
545332,2016
545332,2017
545332,2018
545348,2017
545357,2016
545363,2016
545363,2017
546276,2016
547176,2021
547749,2015
547749,2016
547749,2017
547749,2018
548337,2015
548337,2017
548357,2016
553872,2015
553878,2015
553878,2019
553970,2015
554374,2017
570240,2016
570240,2017
570702,2017
570702,2018
571035,2018
571057,2015
571473,2016
571473,2017
571473,2018
571476,2016
571476,2018
571521,2015
571521,2017
571521,2021
571539,2016
571539,2019
571561,2015
571561,2017
571561,2018
571572,2016
571584,2015
571584,2016
571735,2019
571735,2021
571858,2019
571871,2015
571871,2016
571871,2017
571871,2021
571893,2015
571893,2016
571893,2017
571893,2018
571951,2015
571951,2017
571963,2016
572021,2015
572021,2016
572021,2017
572021,2018
572021,2019
572038,2015
572044,2016
572044,2017
572044,2018
572044,2019
572086,2016
572089,2015
572096,2016
572096,2017
572096,2019
572102,2016
572119,2016
572143,2019
572143,2021
572208,2016
572283,2016
572308,2015
572308,2016
572308,2017
572308,2018
572309,2015
572728,2017
572750,2018
572788,2016
572831,2016
572831,2017
572990,2016
572998,2017
572998,2018
572998,2019
573046,2015
573046,2016
573046,2017
573046,2019
573062,2021
573064,2016
573064,2017
573064,2018
573109,2018
573109,2021
573127,2015
573127,2017
573127,2018
573127,2019
573127,2021
573188,2016
573589,2016
573589,2017
575070,2019
580792,2015
580792,2016
580792,2017
580792,2018
580792,2019
582494,2016
582494,2017
582494,2018
582494,2019
584171,2019
591693,2016
591693,2018
591693,2019
591701,2017
592091,2015
592091,2016
592102,2019
592120,2017
592127,2016
592127,2017
592127,2018
592130,2016
592130,2018
592135,2015
592135,2016
592135,2017
592135,2021
592145,2019
592145,2021
592165,2019
592170,2018
592181,2015
592233,2017
592233,2019
592233,2021
592254,2021
592279,2017
592280,2019
592288,2021
592329,2015
592330,2016
592340,2015
592340,2016
592340,2017
592340,2018
592341,2015
592341,2016
592398,2015
592422,2017
592426,2015
592426,2016
592426,2017
592426,2018
592527,2016
592533,2015
592533,2016
592547,2017
592547,2018
592570,2017
592570,2018
592593,2017
592612,2015
592612,2016
592612,2017
592612,2018
592612,2021
592614,2017
592665,2018
592677,2015
592705,2015
592705,2018
592769,2018
592779,2017
592779,2018
592779,2019
592781,2015
592811,2016
592815,2015
592815,2016
592815,2017
592815,2018
592815,2019
592831,2021
592833,2017
592833,2018
592859,2019
592865,2017
592865,2018
592865,2019
592865,2021
592869,2017
592872,2016
592872,2017
593144,2017
593144,2021
593372,2019
593582,2016
593604,2021
593679,2016
593833,2018
593833,2021
594027,2019
594056,2017
594056,2019
594056,2021
594736,2019
594762,2015
594772,2015
594792,2015
594792,2016
594795,2016
594795,2017
594795,2019
594795,2021
594815,2015
594815,2017
594840,2015
594840,2016
594840,2017
594840,2018
594840,2019
594857,2015
594857,2016
594943,2016
594943,2017
594951,2015
594951,2016
594965,2021
594977,2015
594985,2016
594985,2021
594986,2016
594986,2017
594986,2021
594987,2019
594987,2021
594992,2017
594992,2018
595001,2017
595001,2019
595032,2017
595234,2017
595234,2018
595235,2015
595307,2016
595307,2017
595371,2015
595411,2017
595411,2018
595411,2021
595465,2017
595465,2019
595465,2021
595798,2019
595897,2019
595918,2018
595918,2019
595918,2021
595928,2017
595928,2018
595928,2021
596027,2017
596027,2018
596027,2019
596027,2021
596035,2019
596074,2018
596074,2019
596101,2018
596101,2019
596331,2015
596331,2016
596720,2017
596720,2018
596720,2019
596816,2017
596816,2018
597113,2018
597113,2019
597113,2021
598271,2019
598286,2021
599683,2016
599683,2018
599998,2016
599998,2017
600526,2016
600887,2019
600887,2021
600944,2018
600965,2017
600965,2018
600968,2018
600968,2019
600986,2018
600986,2019
602083,2015
602083,2018
605121,2019
605138,2021
605143,2018
605143,2019
605152,2016
605155,2018
605169,2015
605169,2017
605226,2015
605226,2016
605232,2015
605240,2017
605240,2018
605240,2021
605255,2018
605260,2018
605260,2019
605276,2021
605301,2018
605301,2019
605309,2016
605309,2017
605309,2018
605309,2019
605309,2021
605317,2015
605333,2015
605333,2017
605338,2015
605359,2015
605359,2016
605359,2017
605359,2018
605359,2019
605359,2021
605374,2015
605388,2017
605388,2018
605388,2019
605388,2021
605396,2015
605396,2016
605441,2017
605441,2018
605441,2019
605441,2021
605476,2017
605476,2018
605479,2019
605482,2019
605498,2019
605501,2018
605501,2019
605541,2017
605541,2019
605541,2021
605795,2017
605894,2016
606162,2019
606167,2019
606291,2016
606478,2018
606944,2018
606959,2019
606983,2016
606983,2017
606983,2018
606995,2018
607188,2019
607188,2021
607219,2019
607219,2021
607231,2017
607309,2015
607309,2016
607320,2016
607374,2021
607468,2021
607473,2017
607473,2018
607473,2019
607555,2019
607560,2019
607560,2021
607727,2016
607951,2017
607968,2015
607968,2018
608167,2015
608334,2016
608334,2019
608334,2021
608601,2017
608601,2018
608650,2021
612272,2015
613317,2019
620396,2021
620982,2017
621052,2019
621056,2018
621056,2019
621056,2021
621057,2021
621094,2017
621098,2021
621129,2021
621139,2021
621141,2019
621142,2018
621199,2017
621199,2018
621199,2019
621289,2018
621289,2019
621294,2016
621294,2017
621294,2019
621350,2018
621350,2019
621385,2016
621385,2017
621385,2018
621385,2019
621397,2015
621397,2017
621397,2018
621397,2019
621408,2015
621408,2016
621592,2019
621962,2015
622088,2021
622092,2019
622092,2021
622097,2018
622161,2017
622161,2018
622217,2017
622217,2018
622259,2018
622259,2019
622382,2017
622382,2018
622446,2021
622505,2017
622505,2018
622505,2019
622772,2018
622772,2019
622774,2018
622774,2019
622780,2021
622783,2018
622795,2017
622864,2019
623184,2016
623184,2018
623184,2019
623354,2018
623354,2019
623354,2021
623364,2018
623364,2019
623364,2021
623395,2015
623395,2016
623395,2017
623402,2018
623402,2019
623406,2016
623406,2017
623430,2015
623430,2017
623430,2018
623430,2019
623433,2021
623434,2017
623439,2016
623439,2017
623454,2018
623454,2021
623470,2018
623470,2019
623470,2021
623913,2017
623913,2019
624586,2016
624586,2017
624586,2019
624586,2021
624647,2021
626929,2019
627262,2017
627894,2018
628318,2018
628333,2016
628333,2018
628345,2021
629496,2017
629496,2018
639373,2018
639373,2019
640464,2019
641149,2019
641341,2018
641341,2019
641386,2021
641420,2021
641427,2017
641427,2018
641438,2018
641438,2019
641490,2015
641490,2016
641490,2017
641490,2018
641571,2019
641632,2021
641838,2016
641838,2017
641838,2019
641850,2017
641851,2018
641851,2019
641851,2021
641962,2018
642003,2017
642003,2018
642003,2021
642008,2017
642008,2018
642008,2019
642067,2019
642073,2017
642073,2018
642073,2019
642073,2021
642083,2021
642098,2018
642233,2019
642233,2021
642578,2019
642759,2021
642840,2019
643297,2016
643320,2017
643325,2016
643329,2017
643354,2016
643354,2017
643354,2018
643354,2019
643355,2016
643466,2018
643466,2019
643603,2019
643617,2017
643617,2018
643617,2019
643778,2017
643778,2018
643778,2019
643778,2021
644428,2017
648737,2015
648737,2016
650347,2021
650813,2019
650828,2017
650828,2018
650828,2021
656186,2016
656186,2017
656186,2018
656186,2019
656266,2021
656547,2016
656547,2017
656547,2019
656620,2021
656738,2018
656977,2018
656977,2019
656981,2021
657031,2019
657031,2021
657097,2019
657097,2021
657117,2018
657205,2016
657205,2017
657205,2018
657209,2018
657228,2019
657228,2021
657566,2019
657610,2017
657610,2019
657624,2021
657670,2016
657681,2017
657786,2018
658305,2019
658305,2021
658791,2019
658792,2019
660546,2021
660875,2018
663366,2021
663399,2021
663770,2021
663878,2021
663992,2019
663992,2021
664129,2019
664129,2021
664157,2019
664157,2021
664180,2018
664180,2019
664196,2018
664682,2018
664682,2021
664701,2017
664701,2018
664714,2021
664856,2019
664918,2019
664918,2021
665093,2019
665661,2021
665733,2021
665759,2021
665854,2021
668683,2019
668687,2021
669135,2021
669294,2021
669735,2021
670050,2021
670056,2021
670087,2021
670456,2019
670456,2021
670550,2021
672773,2019
673633,2019
674944,2021
676220,2021
676604,2021
676709,2021
676755,2021
676969,2021
676979,2021
